,1536_image_path,Cored_gt,Diffuse_gt,CAA_gt,Cored_pred,Diffuse_pred,CAA_pred,total_count
0,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/10/26.jpg,0,1,0,0.0,0.0,0.0,0.0
1,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/11/4.jpg,0,1,0,0.0,1.0,0.0,1.0
2,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/11/6.jpg,0,0,2,0.0,1.0,0.0,1.0
3,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/12/4.jpg,0,1,0,0.0,0.0,0.0,0.0
4,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/13/5.jpg,0,1,0,0.0,1.0,0.0,1.0
5,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/14/9.jpg,0,1,0,0.0,0.0,0.0,0.0
6,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/15/4.jpg,0,1,0,1.0,0.0,0.0,1.0
7,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/15/6.jpg,0,1,0,0.0,0.0,0.0,0.0
8,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/16/23.jpg,0,2,0,0.0,0.0,0.0,0.0
9,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/18/31.jpg,0,1,0,0.0,0.0,0.0,0.0
10,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/19/1.jpg,0,1,0,0.0,0.0,0.0,0.0
11,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/19/20.jpg,0,1,0,0.0,0.0,0.0,0.0
12,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/23/31.jpg,0,1,0,0.0,0.0,0.0,0.0
13,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/24/31.jpg,0,1,0,0.0,0.0,0.0,0.0
14,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/26/18.jpg,0,1,0,0.0,0.0,0.0,0.0
15,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/3/11.jpg,0,1,0,0.0,0.0,0.0,0.0
16,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/3/13.jpg,0,1,0,0.0,0.0,0.0,0.0
17,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/4/10.jpg,0,1,0,0.0,0.0,0.0,0.0
18,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/5/9.jpg,0,3,0,1.0,0.0,0.0,1.0
19,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4137-02_AB/0/8/6.jpg,0,1,0,0.0,1.0,0.0,1.0
20,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/0/10.jpg,1,5,0,0.0,2.0,0.0,2.0
21,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/0/4.jpg,1,0,0,0.0,0.0,0.0,0.0
22,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/0/9.jpg,0,1,0,0.0,2.0,0.0,2.0
23,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/1/10.jpg,0,18,0,0.0,4.0,0.0,4.0
24,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/0.jpg,1,3,0,0.0,3.0,0.0,3.0
25,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/1.jpg,0,2,0,0.0,1.0,0.0,1.0
26,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/10.jpg,0,5,0,0.0,1.0,0.0,1.0
27,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/11.jpg,0,2,0,0.0,0.0,0.0,0.0
28,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/2.jpg,0,0,0,0.0,0.0,0.0,0.0
29,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/20.jpg,0,3,0,0.0,1.0,0.0,1.0
30,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/22.jpg,0,8,0,0.0,0.0,0.0,0.0
31,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/23.jpg,1,2,0,0.0,0.0,0.0,0.0
32,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/26.jpg,0,1,0,0.0,1.0,0.0,1.0
33,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/27.jpg,1,1,0,0.0,2.0,0.0,2.0
34,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/28.jpg,1,3,0,0.0,3.0,0.0,3.0
35,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/4.jpg,0,1,0,0.0,1.0,0.0,1.0
36,/gladstone/finkbeiner/steve/work/data/npsad_data/vivek/Datasets/External_Dataset-Others/data/CERAD/1536_tiles/NA4185-02_AB/0/10/5.jpg,0,5,0,0.0,0.0,0.0,0.0
